service,direction,bus stop code,seq,bus count,Net Passengers on Bus at BusStop
913,1,46009_O,0,436.24242424242425,1588
913,1,46281,1,436.24242424242425,2137
913,1,46391,2,436.24242424242425,4201
913,1,46761,3,436.24242424242425,5723
913,1,46771,4,436.24242424242425,4237
913,1,46781,5,436.24242424242425,4179
913,1,46791,6,436.24242424242425,2447
913,1,46811,7,436.24242424242425,3539
913,1,46821,8,436.24242424242425,4624
913,1,46831,9,436.24242424242425,11327
913,1,46841,10,436.24242424242425,18227
913,1,46799,11,436.24242424242425,23112
913,1,46789,12,436.24242424242425,24420
913,1,46779,13,436.24242424242425,8361
913,1,46769,14,436.24242424242425,8933
913,1,46399,15,436.24242424242425,9865
913,1,46289,16,436.24242424242425,10125
913,1,46008,17,436.24242424242425,10254
913,1,46291,18,436.24242424242425,9880
913,1,46199,19,436.24242424242425,9281
913,1,46181,20,436.24242424242425,8169
913,1,46071,21,436.24242424242425,7887
913,1,46011,22,436.24242424242425,7645
913,1,46509,23,436.24242424242425,7082
913,1,46069,24,436.24242424242425,8508
913,1,46088,25,436.24242424242425,8782
913,1,46501,26,436.24242424242425,8783
913,1,46019,27,436.24242424242425,9473
913,1,46079,28,436.24242424242425,13041
913,1,46189,29,436.24242424242425,18646
913,1,46191,30,436.24242424242425,19208
913,1,46299,31,436.24242424242425,19061
913,1,46009_D,32,436.24242424242425,0
858,1,46009_O,0,320.58666666666664,4758
858,1,46281,1,320.58666666666664,5316
858,1,46391,2,320.58666666666664,6078
858,1,46401,3,320.58666666666664,7135
858,1,46411,4,320.58666666666664,8778
858,1,46461,5,320.58666666666664,8403
858,1,46471,6,320.58666666666664,8198
858,1,46481,7,320.58666666666664,8630
858,1,46731,8,320.58666666666664,9446
858,1,46741,9,320.58666666666664,10473
858,1,47621,10,320.58666666666664,10550
858,1,58381,11,320.58666666666664,13162
858,1,58229,12,320.58666666666664,15336
858,1,58219,13,320.58666666666664,13675
858,1,58159,14,320.58666666666664,13979
858,1,58109,15,320.58666666666664,14777
858,1,58029,16,320.58666666666664,14610
858,1,58019,17,320.58666666666664,13261
858,1,57139,18,320.58666666666664,13306
858,1,57129,19,320.58666666666664,14680
858,1,57119,20,320.58666666666664,13094
858,1,59119,21,320.58666666666664,14123
858,1,59149,22,320.58666666666664,14982
858,1,59073,23,320.58666666666664,16118
858,1,59069,24,320.58666666666664,16187
858,1,59619,25,320.58666666666664,13411
858,1,59059,26,320.58666666666664,14292
858,1,59049,27,320.58666666666664,16735
858,1,59039,28,320.58666666666664,16842
858,1,59029,29,320.58666666666664,16864
858,1,59019,30,320.58666666666664,16891
858,1,55289,31,320.58666666666664,16901
858,1,68111,32,320.58666666666664,20114
858,1,65199,33,320.58666666666664,26972
858,1,95151,34,320.58666666666664,23495
858,1,95011,35,320.58666666666664,22398
858,1,95109,36,320.58666666666664,11991
858,1,95029,37,320.58666666666664,8200
858,1,95129,38,320.58666666666664,8752
858,1,95019,39,320.58666666666664,8675
858,1,95159,40,320.58666666666664,8744
858,1,65191,41,320.58666666666664,8876
858,1,68119,42,320.58666666666664,8317
858,1,55281,43,320.58666666666664,8300
858,1,59011,44,320.58666666666664,8287
858,1,59021,45,320.58666666666664,8262
858,1,59031,46,320.58666666666664,8415
858,1,59041,47,320.58666666666664,8195
858,1,59051,48,320.58666666666664,8276
858,1,59611,49,320.58666666666664,6895
858,1,59061,50,320.58666666666664,7750
858,1,59079,51,320.58666666666664,8421
858,1,59141,52,320.58666666666664,8697
858,1,59111,53,320.58666666666664,7861
858,1,57111,54,320.58666666666664,7972
858,1,57121,55,320.58666666666664,8469
858,1,57131,56,320.58666666666664,8521
858,1,58011,57,320.58666666666664,8645
858,1,58021,58,320.58666666666664,9087
858,1,58101,59,320.58666666666664,9703
858,1,58151,60,320.58666666666664,9648
858,1,58211,61,320.58666666666664,11448
858,1,58221,62,320.58666666666664,11686
858,1,58389,63,320.58666666666664,10936
858,1,47629,64,320.58666666666664,7447
858,1,46749,65,320.58666666666664,7896
858,1,46739,66,320.58666666666664,6267
858,1,46489,67,320.58666666666664,4835
858,1,46479,68,320.58666666666664,3550
858,1,46469,69,320.58666666666664,3350
858,1,46419,70,320.58666666666664,3884
858,1,46409,71,320.58666666666664,4044
858,1,46399,72,320.58666666666664,4671
858,1,46289,73,320.58666666666664,4745
858,1,46009_D,74,320.58666666666664,0
811,1,59009_O,0,455.0,16360
811,1,59179,1,455.0,17525
811,1,59189,2,455.0,16560
811,1,59199,3,455.0,6729
811,1,59209,4,455.0,5124
811,1,59211,5,455.0,10085
811,1,59221,6,455.0,9920
811,1,59261,7,455.0,11732
811,1,59271,8,455.0,12183
811,1,57129,9,455.0,13123
811,1,57119,10,455.0,12976
811,1,59119,11,455.0,15808
811,1,59149,12,455.0,16124
811,1,59159,13,455.0,12221
811,1,59091,14,455.0,16818
811,1,59251,15,455.0,17629
811,1,59229,16,455.0,17215
811,1,59219,17,455.0,12585
811,1,59201,18,455.0,13933
811,1,59191,19,455.0,11582
811,1,59181,20,455.0,19575
811,1,59171,21,455.0,23529
811,1,59161,22,455.0,17088
811,1,59072,23,455.0,1706
811,1,59069,24,455.0,1774
811,1,59339,25,455.0,2160
811,1,59321,26,455.0,2117
811,1,59561,27,455.0,2485
811,1,59421,28,455.0,2043
811,1,59431,29,455.0,1595
811,1,59449,30,455.0,1438
811,1,59481,31,455.0,1402
811,1,59499,32,455.0,2274
811,1,59501,33,455.0,3282
811,1,59441,34,455.0,6861
811,1,59439,35,455.0,12312
811,1,59429,36,455.0,12182
811,1,59569,37,455.0,3009
811,1,59329,38,455.0,2885
811,1,59331,39,455.0,2609
